CENSO DE POBLACIÓN Y VIVIENDA 2020,,,,,,,,
Relación de indicadores,,,,,,,,
,,Cuarta edición,,,,,,
Núm.,Indicador,Descripción,Mnemónico,Rangos,Longitud,Notas del Proyecto,,
1,Clave de entidad federativa,Código que identifica a la entidad federativa. El código 00 identifica a los registros con los totales a nivel nacional.,ENTIDAD,00…32,2,BORRAR,,
2,Entidad federativa,Nombre oficial de la entidad federativa.,NOM_ENT ,Alfanumérico,50,BORRAR,,
3,Clave de municipio o demarcación territorial,"Código que identifica al municipio o demarcación territorial al interior de una entidad federativa, conforme al Marco Geoestadístico. El código 000 identifica a los registros con los totales a nivel de entidad federativa.",MUN,000…570,3,BORRAR,, 
4,Municipio o demarcación territorial,Nombre oficial del municipio o demarcación territorial en el caso de la Ciudad de México.,NOM_MUN   ,Alfanumérico,50,BORRAR,,
5,Clave de localidad,Código que identifica a la localidad al interior de cada municipio o demarcación territorial conforme al Marco Geoestadístico. El código 0000 identifica a los registros con los totales a nivel de municipio o demarcación territorial.,LOC,0000…9999,4,BORRAR,,
6,Localidad,Nombre con el que se reconoce a la localidad dado por la ley o la costumbre.,NOM_LOC ,Alfanumérico,70,BORRAR,,
7,Longitud,"Ubicación de la localidad expresada en grados, minutos, segundos y milésimas de segundo. Las primeras tres o cuatro posiciones corresponden a los grados y su símbolo; las siguientes tres posiciones indican los minutos y su símbolo y las siguientes 8 posiciones corresponden a los segundos, sus milésimas separados por un punto y su símbolo, la última posición indica que es la longitud situada al Oeste del meridiano de Greenwich (W).",LONGITUD ,Caracter,16,"BORRAR, SIRVE PARA LOCALIZAR VALORES ATÍPICOS",,
8,Latitud,"Ubicación de la localidad expresada en grados, minutos, segundos y milésimas de segundo. Las primeras tres posiciones corresponden a los grados y su símbolo; las siguientes tres posiciones indican los minutos y su símbolo y las siguientes 8 posiciones corresponden a los segundos, sus milésimas separados por un punto y su símbolo, la última posición indica que es la latitud situada al norte del ecuador (N).",LATITUD,Caracter,15,BORRAR,,
9,Altitud,"Altura a la que se encuentra una localidad, respecto al nivel medio del mar, expresada en metros.",ALTITUD,Caracter,4,,,
1,Población total,"Total de personas que residen habitualmente en el país, la entidad federativa, el municipio o la demarcación territorial y la localidad. Incluye la estimación del número de personas en viviendas particulares sin información de ocupantes. Incluye a la población que no especificó su edad.",POBTOT,0...999999999,9,SALIDA,,
224,Total de viviendas,"Viviendas particulares habitadas, deshabitadas, de uso temporal y colectivas. Incluye a las viviendas sin información de ocupantes.",VIVTOT,0...999999999,9,,,
225,Total de viviendas habitadas,Viviendas particulares y colectivas habitadas. Incluye a las viviendas sin información de ocupantes ,TVIVHAB,0...999999999,9,,,
226,Total de viviendas particulares,"Viviendas particulares habitadas, deshabitadas y de uso temporal. Excluye a las viviendas sin información de ocupantes.",TVIVPAR,0...999999999,9,,,
228,Total de viviendas particulares habitadas con características,"Viviendas particulares habitadas a las que se les captan sus características, incluye casa única en el terreno; casa que comparte terreno con otra(s); casa dúplex; departamento en edificio; vivienda en vecindad o cuartería; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin información de ocupantes.",VIVPARH_CV,0...999999999,9,,,
229,Total de viviendas particulares habitadas,"Viviendas particulares habitadas de cualquier clase: casa única en el terreno; casa que comparte terreno con otra(s); casa dúplex; departamento en edificio; vivienda en vecindad o cuartería; vivienda en cuarto de azotea de un edificio; local no construido para habitación, vivienda móvil; refugio y no especificado de vivienda particular. Incluye a las viviendas particulares sin información de ocupantes. ",TVIVPARHAB,0...999999999,9,,,
230,Viviendas particulares deshabitadas,Viviendas particulares deshabitadas.,VIVPAR_DES,0...999999999,9,,,
231,Viviendas particulares de uso temporal,Viviendas particulares de uso temporal.,VIVPAR_UT,0...999999999,9,,,
232,Ocupantes en viviendas particulares habitadas,"Personas que residen en viviendas particulares habitadas de cualquier clase: casa única en el terreno; casa que comparte terreno con otra(s); casa dúplex; departamento en edificio; vivienda en vecindad o cuartería; vivienda en cuarto de azotea de un edificio; local no construido para habitación, vivienda móvil; refugio y no especificado de vivienda particular. Incluye una estimación de personas en viviendas particulares sin información de ocupantes y menores omitidos.",OCUPVIVPAR,0...99999999,9,,,
233,Promedio de ocupantes en viviendas particulares habitadas,"Resultado de dividir el número de personas que residen en viviendas particulares habitadas, entre el número de esas viviendas.",PROM_OCUP,0...999999999,9,,,
